# Kratos Output Displacements 
#
# curve_a.CurveGeometry3D
# solution step :: 0
# Id                        Init x:                        Init y:                        Init z:                Init rotartion:                         Disp x                         Disp y                         Disp z                  Disp rotation
#***********************************************************************************************************************************************************************************************************************************************************#
  13              23.83333333333333              5.000000000000003                            0.0                            0.0            -0.9337393202066337             -4.298297249762269                            0.0                            0.0
  14             24.300000000000008                            5.0                            0.0                            0.0            -1.0309469878944242             -4.583505832644585                            0.0                            0.0
  15             24.649999999999977              4.999999999999998                            0.0                            0.0            -1.1082844075809746             -4.802994715397085                            0.0                            0.0
  16             24.883333333333344              5.000000000000002                            0.0                            0.0            -1.1618567356964853             -4.951765469102119                            0.0                            0.0
  17                           25.0                            5.0                            0.0                            0.0             -1.189151901510563              -5.02675744751208                            0.0                            0.0
# Kratos Output Displacements 
#
# curve_a.CurveGeometry3D
# solution step :: 4
# Id                        Init x:                        Init y:                        Init z:                Init rotartion:                         Disp x                         Disp y                         Disp z                  Disp rotation
#***********************************************************************************************************************************************************************************************************************************************************#
   1                           10.0                            5.0                            0.0                            0.0                            0.0                            0.0                            0.0                            0.0
   2              10.13333333333332              4.999999999999993                            0.0                            0.0         -3.759252091839471e-07        -1.2923155878752368e-09                            0.0                            0.0
   3              10.40000000000002              5.000000000000009                            0.0                            0.0        -1.1278008962278818e-06         -0.0025856841314508827                            0.0                            0.0
   4             10.799999999999985              4.999999999999994                            0.0                            0.0        -0.00010254210756066584           -0.01422124921275092                            0.0                            0.0
   5             11.333333333333343              5.000000000000003                            0.0                            0.0         -0.0008394798379249835           -0.04524163727396502                            0.0                            0.0
   6             11.999999999999996              5.000000000000001                            0.0                            0.0           -0.00376487218404975            -0.1098026352471102                            0.0                            0.0
   7             12.666666666666675              5.000000000000001                            0.0                            0.0          -0.009692825895317725           -0.20005203910664537                            0.0                            0.0
   8             13.333333333333329                            5.0                            0.0                            0.0          -0.019617165968426775           -0.31585410366572386                            0.0                            0.0
   9             14.000000000000007              5.000000000000002                            0.0                            0.0           -0.03452570638558505            -0.4570346496451059                            0.0                            0.0
  10             14.666666666666666              4.999999999999997                            0.0                            0.0           -0.05539876433541302             -0.623381325703865                            0.0                            0.0
  11             15.333333333333336              5.000000000000005                            0.0                            0.0           -0.08320768570180448            -0.8146439278129041                            0.0                            0.0
  12             16.000000000000004             4.9999999999999964                            0.0                            0.0           -0.11891338405902196            -1.0305347756156147                            0.0                            0.0
  13             16.666666666666664              5.000000000000005                            0.0                            0.0           -0.16346489533299646            -1.2707291450889562                            0.0                            0.0
  14             17.199999999999996             4.9999999999999964                            0.0                            0.0            -0.2069313393719021            -1.4820384346569977                            0.0                            0.0
  15             17.599999999999994              5.000000000000002                            0.0                            0.0            -0.2443473253194881             -1.651115629949396                            0.0                            0.0
  16             17.866666666666667              5.000000000000002                            0.0                            0.0            -0.2715524844341246            -1.7684850564111558                            0.0                            0.0
  17                           18.0                            5.0                            0.0                            0.0           -0.28573529262389386            -1.8283250922501404                            0.0                            0.0
# Kratos Output Displacements 
#
# curve_b.CurveGeometry3D
# solution step :: 4
# Id                        Init x:                        Init y:                        Init z:                Init rotartion:                         Disp x                         Disp y                         Disp z                  Disp rotation
#***********************************************************************************************************************************************************************************************************************************************************#
   1                           18.0                            5.0                            0.0                            0.0           -0.28573529262389386            -1.8283250922501395                            0.0                            0.0
   2              18.11666666666666              4.999999999999995                            0.0                            0.0           -0.29814524984070445            -1.8806851237102853                            0.0                            0.0
   3             18.350000000000016              5.000000000000007                            0.0                            0.0            -0.3238536393698972              -1.98717427437371                            0.0                            0.0
   4              18.69999999999999             4.9999999999999964                            0.0                            0.0           -0.36514168675664394            -2.1521851113108026                            0.0                            0.0
